"Page","Category","FileExists","HttpStatus","HttpLegacy","BrokenAssets","MissingScripts","BlackBoxFail","WhiteBox","Notes","BlackBox","WhiteBoxStatus"
"pages\perfil.html","Publico","True","200","200","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"pages\premios-disponiveis.html","Publico","True","200","200","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"pages\quem-somos.html","Publico","True","200","200","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"pages\Ranking.html","Publico","True","200","200","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"pages\relatorio.html","Publico","True","200","200","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"pages\relatorio-mensal.html","Publico","True","200","200","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"pages\tela-inicia.html","Publico","True","200","200","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"pagina-relatorio.html","Outro","True","200","200","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"perfil.html","Outro","True","200","200","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"premios-disponiveis.html","Outro","True","200","200","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"quem-somos.html","Outro","True","200","200","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"Ranking.html","Outro","True","200","200","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"recuperar.html","Outro","True","200","200","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"relatorio.html","Outro","True","200","200","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"relatorio-adm.html","Outro","True","200","200","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"relatorio-ADM-Ecoponto.html","Outro","True","200","200","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"relatorio-mensal.html","Outro","True","200","200","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"resetar.html","Outro","True","200","200","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"senha-criada.html","Outro","True","200","200","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"tela-inicia.html","Outro","True","200","200","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"usuarios-adm.html","Outro","True","200","200","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"verificacao.html","Outro","True","200","200","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"verificar-cadastro.html","Outro","True","200","200","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
